Date,KO: Open,KO: High,KO: Low,KO: Close,KO: Volume,SB=F: Open,SB=F: Close,SB=F: Average,KC=F: Open,KC=F: Close,KC=F: Average,KO: Next Day Closing
04/01/2010,28.58,28.61,28.45,28.52,13870400,27,27.62,27.31,136,141.85,138.93,28.17
05/01/2010,28.42,28.5,28.07,28.17,23172400,27.5,27.64,27.57,141.85,141,141.43,28.17
06/01/2010,28.17,28.22,27.99,28.17,19264600,27.63,28.41,28.02,141.6,141.6,141.6,28.09
07/01/2010,28.17,28.18,27.88,28.09,13234600,28.24,28,28.12,141.55,141.9,141.72,27.58
08/01/2010,27.73,27.82,27.38,27.58,28712400,27.93,27.53,27.73,142.45,145.35,143.9,28.14
11/01/2010,27.58,28.23,27.4,28.14,28642400,27.53,26.75,27.14,145.85,143.7,144.78,28.44
12/01/2010,28.05,28.5,28.03,28.44,23269800,26.93,27.36,27.15,144,143.1,143.55,28.51
13/01/2010,28.43,28.72,28.34,28.51,15157400,27.64,28.04,27.84,142.95,145.15,144.05,28.57
14/01/2010,28.52,28.63,28.39,28.57,12392600,27.95,27.76,27.86,145.15,144.35,144.75,28.15
15/01/2010,28.48,28.67,28.02,28.15,27460800,27.78,27.62,27.7,143.85,140.75,142.3,28.21
19/01/2010,28.11,28.25,27.96,28.21,14615400,27.9,28.98,28.44,141,140.9,140.95,27.75
20/01/2010,28.08,28.2,27.65,27.75,18810200,28.97,29.11,29.04,140.5,139.2,139.85,27.18
21/01/2010,27.78,27.79,27.09,27.18,27396800,29.29,29.26,29.28,139.45,138.7,139.07,27.12
22/01/2010,27.17,27.43,26.99,27.12,23551400,28.95,28.78,28.87,138.75,139.6,139.18,27.17
25/01/2010,27.25,27.27,26.94,27.17,16853200,28.74,29.8,29.27,139.8,139.4,139.6,27.07
26/01/2010,27.04,27.25,26.93,27.07,15515000,29.67,29.3,29.48,139.05,138.25,138.65,27.25
27/01/2010,27,27.33,26.85,27.25,20414800,29.3,28.36,28.83,138,133.55,135.78,27.09
28/01/2010,27.36,27.42,27.07,27.09,20905200,28.5,29,28.75,133.95,132.95,133.45,27.13
29/01/2010,27.22,27.47,26.95,27.13,22146800,29.16,29.9,29.53,132.6,131.7,132.15,27.19
01/02/2010,27.25,27.28,27,27.19,14517600,29.9,29.28,29.59,132,132.55,132.28,27.53
02/02/2010,27.26,27.61,27.08,27.53,16888600,29.3,29.4,29.35,132.85,135.05,133.95,27.43
03/02/2010,27.46,27.48,27.26,27.43,15899400,29.55,28.58,29.06,135.45,133,134.22,26.72
04/02/2010,27.28,27.34,26.7,26.72,21342800,28.35,27.64,27.99,132.75,131.55,132.15,26.55
05/02/2010,26.62,26.72,26.26,26.55,29285000,27.6,26.17,26.89,131.45,128.8,130.13,26.33
08/02/2010,26.64,26.64,26.29,26.33,16721200,26.5,26.6,26.55,129.35,130.65,130,27
09/02/2010,26.84,27.49,26.68,27,31495000,27,27.07,27.04,130.45,130.4,130.42,26.9
10/02/2010,27.3,27.3,26.58,26.9,18717600,26.98,26.64,26.81,130.1,132.2,131.15,27.11
11/02/2010,26.8,27.17,26.64,27.11,26327200,26.78,27.53,27.16,132.75,132.2,132.47,26.99
12/02/2010,26.96,27.2,26.81,26.99,24640000,27.58,26.95,27.27,131.8,132.75,132.28,27.41
16/02/2010,27.25,27.41,26.97,27.41,19339400,27.3,27.36,27.33,133.15,133.45,133.3,27.67
17/02/2010,27.41,27.78,27.38,27.67,17064600,27.4,26.12,26.76,133.5,132.25,132.88,27.96
18/02/2010,27.58,27.96,27.58,27.96,17264600,26.3,26.47,26.38,132.5,134.1,133.3,27.86
19/02/2010,27.9,27.95,27.59,27.86,18944800,26.47,26.8,26.63,133.95,134.75,134.35,27.69
22/02/2010,27.9,27.93,27.64,27.69,13487600,26.95,24.79,25.87,134.75,129.85,132.3,27.42
23/02/2010,27.71,27.8,27.4,27.42,14835600,25,24.37,24.69,130.55,130.35,130.45,27.58
24/02/2010,27.5,27.59,27.34,27.58,14470600,24.5,25.11,24.81,130.35,130.45,130.4,26.56
25/02/2010,26.57,26.79,26.31,26.56,63648600,25.09,24.45,24.77,129.55,127.7,128.63,26.36
26/02/2010,26.55,26.55,26.12,26.36,63095400,24.4,24.13,24.26,129.6,129.05,129.33,26.64
01/03/2010,26.61,26.68,26.4,26.64,39449800,23.6,22.26,22.93,129.65,129.55,129.6,26.65
02/03/2010,26.69,26.84,26.58,26.65,24506200,22.36,22.64,22.5,129.35,130.2,129.78,26.97
03/03/2010,26.65,27.06,26.59,26.97,26574200,22.52,22.05,22.28,129.85,129.7,129.78,27.24
04/03/2010,27.35,27.52,27.16,27.24,28983200,21.99,21.67,21.83,130,127.85,128.92,27.35
05/03/2010,27.34,27.48,27.18,27.35,24238600,21.93,22.19,22.06,128.45,128,128.22,27.23
08/03/2010,27.36,27.43,27.16,27.23,18915600,22.34,21.57,21.96,127.55,128.7,128.13,27.09
09/03/2010,27.17,27.3,26.98,27.09,23070000,21.57,20.32,20.95,131.25,130.25,130.75,27.1
10/03/2010,27.13,27.18,27.02,27.1,21574800,20.2,19.69,19.95,130.45,130.5,130.47,26.8
11/03/2010,26.89,26.89,26.5,26.8,29130600,19.55,19.27,19.41,131,131.45,131.22,26.67
12/03/2010,26.84,26.89,26.63,26.67,22334400,19.3,19.67,19.48,132.75,130.15,131.45,26.83
15/03/2010,26.87,26.92,26.68,26.83,23874000,19.71,19.39,19.55,128.65,128.65,128.65,26.85
16/03/2010,26.9,26.93,26.79,26.85,22287800,19.21,18.24,18.72,129,130.35,129.68,26.92
17/03/2010,26.91,27,26.8,26.92,26074400,18.3,18.33,18.31,130.5,131.2,130.85,26.98
18/03/2010,26.95,27.02,26.87,26.98,23496200,18.35,19.03,18.69,130.75,133.15,131.95,27.38
19/03/2010,27.38,27.53,26.8,27.38,43610800,19,18.64,18.82,132.45,130.3,131.38,27.27
22/03/2010,27.25,27.42,27.2,27.27,18127400,18.7,17.84,18.27,132.1,133,132.55,27.65
23/03/2010,27.36,27.67,27.21,27.65,19081200,17.8,16.57,17.18,133,134.75,133.88,27.31
24/03/2010,27.61,27.68,27.31,27.31,17052600,16.68,17.67,17.18,134.45,134.3,134.38,27.4
25/03/2010,27.46,27.59,27.33,27.4,16638800,17.8,17.05,17.42,134.3,137,135.65,27.33
26/03/2010,27.4,27.49,27.25,27.33,16276800,17.24,17,17.12,136.85,135.85,136.35,27.39
29/03/2010,27.4,27.48,27.33,27.39,13853600,17.03,17.51,17.27,135.95,138.15,137.05,27.43
30/03/2010,27.45,27.53,27.31,27.43,13631600,17.51,17.88,17.69,138.25,138.95,138.6,27.5
31/03/2010,27.4,27.65,27.25,27.5,22922000,17.95,16.59,17.27,139,136.15,137.57,27.65
01/04/2010,27.68,27.72,27.57,27.65,14346000,16.6,16.7,16.65,136.55,137.4,136.97,27.43
05/04/2010,27.78,27.78,27.33,27.43,19191800,16.69,16.4,16.55,137.5,139.65,138.57,27.15
06/04/2010,27.42,27.42,27.11,27.15,17604200,16.4,15.89,16.15,139.5,139.2,139.35,26.91
07/04/2010,27.15,27.15,26.78,26.91,24060800,15.88,16.16,16.02,138.85,137.55,138.2,26.88
08/04/2010,26.89,26.89,26.72,26.88,19466800,16.08,15.92,16,137.4,134.7,136.05,27.3
09/04/2010,26.96,27.31,26.92,27.3,20640600,15.92,16.39,16.15,135.2,132.7,133.95,27.38
12/04/2010,27.33,27.43,27.25,27.38,16930400,16.45,16.54,16.5,133.5,133.55,133.53,27.51
13/04/2010,27.34,27.54,27.33,27.51,15055000,16.65,16.98,16.82,133.6,132.2,132.9,27.48
14/04/2010,27.51,27.53,27.33,27.48,13865200,17.15,17.53,17.34,132.25,131.85,132.05,27.13
15/04/2010,27.38,27.39,27.07,27.13,20351000,17.6,16.85,17.23,131.8,131.75,131.78,27.49
16/04/2010,27.12,27.57,27.08,27.49,35075600,16.8,15.95,16.37,131.8,129.1,130.45,27.66
19/04/2010,27.49,27.66,27.46,27.66,26468600,16.01,16.91,16.46,129.4,129,129.2,27.24
20/04/2010,27.61,27.65,27.16,27.24,32508800,16.86,16.46,16.66,129.5,129.15,129.32,27.09
21/04/2010,27.29,27.29,27,27.09,19263200,16.6,16.55,16.57,129.3,129.7,129.5,27.16
22/04/2010,27.07,27.25,27,27.16,20295600,16.6,16.07,16.34,129.5,131.1,130.3,26.94
23/04/2010,27.23,27.23,26.87,26.94,21675400,16.1,15.66,15.88,131.65,131.8,131.72,26.87
26/04/2010,27,27.17,26.87,26.87,17890800,15.81,15.69,15.75,131.8,132.55,132.18,26.43
27/04/2010,26.83,26.93,26.42,26.43,27600400,15.7,15.12,15.41,132.4,130.8,131.6,26.68
28/04/2010,26.5,26.79,26.28,26.68,24754600,15.15,14.63,14.89,130.75,133.85,132.3,26.87
29/04/2010,26.81,27.09,26.78,26.87,17437600,14.56,15.1,14.83,133.7,134.5,134.1,26.73
30/04/2010,26.81,26.98,26.7,26.73,19349600,15.15,15.05,15.1,134.5,135.2,134.85,26.88
